# Number of physical registers 2048	Issue Width 8
# ROB	IPC	Total Cycles
8       1.71569 5828567
16      2.40454 4158801
32      3.29494 3034958
64      4.05123 2468386
128     4.45624 2244043
256     4.68123 2136192
512     4.82243 2073643
1024    4.86142 2057013
