#Number of Registers: 2048	Issue Width: 8
# ROB size, Ipc, Total Cycles
8     1.78933   5588679
16    2.63054     3801499
32    3.70128     2701771
64    4.98155     2007406
128         6.04904     1653156
256         6.76138     1478988
512         7.12609     1403294
1024       7.32615     1364974
